,train,val,test
172,test_096,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_103,,
177,test_106,,
178,test_109,,
179,test_111,,
180,test_112,,
181,test_115,,
182,test_118,,
183,test_119,,
184,test_120,,
185,test_123,,
186,test_125,,
187,test_126,,
188,test_127,,
189,test_128,,
190,test_129,,
191,test_001,,
192,test_002,,
193,test_010,,
194,test_011,,
195,test_016,,
196,test_026,,
197,test_027,,
198,test_030,,
199,test_033,,
200,test_038,,
201,test_046,,
202,test_048,,
203,test_051,,
204,test_052,,
205,test_061,,
206,test_066,,
207,test_068,,
208,test_071,,
209,test_073,,
210,test_074,,
211,test_079,,
212,test_082,,
213,test_094,,
214,test_097,,
215,test_099,,
216,test_104,,
217,test_105,,
218,test_108,,
219,test_110,,
220,test_113,,
221,test_114,,
222,test_116,,
223,test_117,,
224,test_121,,
225,test_122,,
226,tumor_001,,
227,tumor_002,,
228,tumor_003,,
229,tumor_004,,
230,tumor_005,,
231,tumor_006,,
232,tumor_007,,
233,tumor_008,,
234,tumor_009,,
235,tumor_011,,
236,tumor_014,,
237,tumor_015,,
238,tumor_017,,
239,tumor_018,,
240,tumor_019,,
241,tumor_021,,
242,tumor_022,,
243,tumor_023,,
244,tumor_025,,
245,tumor_026,,
246,tumor_027,,
247,tumor_028,,
248,tumor_029,,
249,tumor_030,,
250,tumor_031,,
251,tumor_032,,
252,tumor_034,,
253,tumor_035,,
254,tumor_037,,
255,tumor_038,,
256,tumor_040,,
257,tumor_041,,
258,tumor_043,,
259,tumor_044,,
260,tumor_046,,
261,tumor_047,,
262,tumor_048,,
263,tumor_050,,
264,tumor_052,,
265,tumor_053,,
266,tumor_054,,
267,tumor_055,,
268,tumor_056,,
269,tumor_057,,
270,tumor_059,,
271,tumor_060,,
272,tumor_061,,
273,tumor_062,,
274,tumor_063,,
275,tumor_064,,
276,tumor_065,,
277,tumor_066,,
278,tumor_068,,
279,tumor_069,,
280,tumor_071,,
281,tumor_072,,
282,tumor_073,,
283,tumor_074,,
284,tumor_075,,
285,tumor_076,,
286,tumor_077,,
287,tumor_078,,
288,tumor_079,,
289,tumor_080,,
290,tumor_081,,
291,tumor_082,,
292,tumor_084,,
293,tumor_085,,
294,tumor_087,,
295,tumor_088,,
296,tumor_089,,
297,tumor_090,,
298,tumor_091,,
299,tumor_092,,
300,tumor_093,,
301,tumor_094,,
302,tumor_095,,
303,tumor_096,,
304,tumor_097,,
305,tumor_098,,
306,tumor_099,,
307,tumor_100,,
308,tumor_101,,
309,tumor_102,,
310,tumor_103,,
311,tumor_104,,
312,tumor_105,,
313,tumor_106,,
314,tumor_107,,
315,tumor_108,,
316,tumor_110,,
317,tumor_111,,
